contract_type,investment_type,region,url
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1525306191-oportunidad-inversion-dpto-homestudio-metro-las-rejas-_JM#position=7&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1532444303-acogedor-depto-a-minutos-de-metro-hospital-el-pino-san-bdo-_JM#position=8&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1541074431-departamento-en-venta-de-2-dorm-en-la-pintana-_JM#position=9&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1552450869-maipu-duplex-2d1b-villa-sta-teresita-_JM#position=10&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2742375158-excelente-depto-amplio-y-acogedor-2d1b-las-vertientes-_JM#position=11&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2778672564-se-vende-dpto-duplex-el-bosque-_JM#position=12&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2788106896-depto-en-segundo-piso-2d1b-ichuac-01131-puente-alto-ca-_JM#position=13&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1520169005-estudio-toro-mazotte-estacion-central-ofertar-desde-_JM#position=14&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1547596527-departamento-en-venta-puente-alto-tercer-piso-_JM#position=15&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2767785982-poblacion-pascual-gambino-tercer-piso-_JM#position=16&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2770880222-poblacion-valenzuela-llanos-tercer-piso-_JM#position=17&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2770925904-poblacion-las-praderas-2-segundo-piso-aire-acondicionado-_JM#position=18&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2716402320-departamento-en-venta-de-2-dorm-en-san-bernardo-_JM#position=19&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
